# flightline, latitude_mean, longitude_mean, elevation_mean, latitude_stdev, longitude_stdev, elevation_stdev, cloud_fraction, ndvi_mean, ndvi_stdev, dimensionality
ang20190802t222542 69.12816620 -104.10748291 42.68143082 0.00748222 0.01907371 8.10612869 0.00000000 0.62927210 0.20342988 23
ang20190802t222542 69.27574158 -104.93367767 33.64549255 0.00704833 0.01914458 6.31383038 0.00000000 0.55468947 0.24030086 24
ang20190802t222542 69.06494904 -103.75696564 55.89257431 0.00727411 0.01919680 11.19906807 0.00000000 0.45847240 0.36253950 42
ang20190802t222542 69.30099487 -105.05242157 52.44373703 0.00793550 0.01923670 13.55686760 0.00000000 0.58317268 0.25764543 24
ang20190802t222542 69.08682251 -103.87325287 55.86936188 0.00715784 0.01906358 9.24712181 0.00000000 0.57383811 0.30349404 22
ang20190802t222542 69.25338745 -104.81449127 49.08654022 0.00745839 0.01925080 24.54551125 0.00000000 0.61450762 0.16675444 46
ang20190802t222542 69.04927826 -103.63951874 54.60324478 0.00805124 0.01888794 8.07456398 0.00000000 0.49780771 0.37485707 79
ang20190802t222542 69.02189636 -103.52374268 56.27721405 0.00726049 0.01895995 8.96173859 0.00000000 0.59361142 0.25075758 21
ang20190802t222542 69.00130463 -103.40800476 40.53382492 0.00715696 0.01903645 13.37437630 0.00000000 0.65870953 0.11828520 78
ang20190802t222542 69.15076447 -104.22502136 31.31219101 0.00710466 0.01906043 9.92288303 0.00000000 0.64054179 0.19136791 25
ang20190802t222542 69.23895264 -104.69612885 23.59196281 0.00788367 0.01948040 5.81703568 0.00000000 0.40998966 0.33125654 21
ang20190802t222542 69.21365356 -104.57748413 36.83090210 0.00708299 0.01935371 8.62353516 0.00000000 0.54169697 0.23541652 29
ang20190802t222542 69.19111633 -104.45990753 33.56586838 0.00749312 0.01922454 5.67830324 0.00000000 0.36460048 0.35659170 27
ang20190802t222542 69.17649841 -104.34183502 22.79032326 0.00785478 0.01916581 11.32623291 0.00000000 0.57702726 0.22254235 44
ang20190802t224159 69.20172119 -104.38249207 38.28366470 0.00796845 0.01908598 8.01428032 0.00000000 0.60740352 0.22115591 27
ang20190802t224159 69.22821808 -104.50091553 39.85208511 0.00745040 0.01930363 6.80412626 0.00000000 0.55832827 0.26955017 52
ang20190802t224159 69.24826050 -104.61933136 33.59906769 0.00720269 0.01926062 5.82257986 0.00000000 0.51600450 0.31566232 48
ang20190802t224159 69.26418304 -104.73793793 26.50854683 0.00796992 0.01952605 7.58315182 0.00000000 0.44546548 0.30756885 56
ang20190802t224159 69.18585968 -104.26502991 31.55307198 0.00729347 0.01928113 6.98682594 0.00000000 0.70825028 0.17331031 29
ang20190802t224159 69.27808380 -104.79737854 33.75319672 0.00717667 0.01939399 8.23511600 0.00000000 0.63177097 0.16095842 68
ang20190802t224159 69.07440948 -103.67994690 57.72740173 0.00808775 0.01939833 6.43855572 0.00000000 0.58108342 0.39145088 65
ang20190802t224159 69.31662750 -105.03485107 33.06969070 0.00765418 0.01946599 11.62838554 0.00000000 0.65281510 0.25832498 21
ang20190802t224159 69.12281799 -103.91355133 49.12141037 0.00738665 0.01922416 6.86576605 0.00000000 0.69263828 0.30562460 65
ang20190802t224159 69.10097504 -103.79678345 50.67071915 0.00722201 0.01924145 7.16886902 0.00000000 0.61968809 0.38187367 44
ang20190802t224159 69.30245209 -104.91578674 40.92471695 0.00802844 0.01947522 7.60438442 0.00000000 0.57781750 0.23872513 52
ang20190802t224159 69.36413574 -105.27337646 38.36944962 0.00805808 0.01955630 7.74527216 0.00000000 0.70523465 0.15972430 24
ang20190802t224159 69.16518402 -104.14766693 21.63102531 0.00734386 0.01915854 7.24292135 0.00000000 0.64438707 0.30932748 27
ang20190802t224159 69.13860321 -104.03048706 43.32382965 0.00796662 0.01916273 12.75441742 0.00000000 0.73350781 0.18744646 27
ang20190802t224159 69.33881378 -105.15377808 37.59923172 0.00720229 0.01948973 8.75795269 0.00000000 0.63858694 0.23439954 66
ang20190802t224159 69.03620911 -103.44706726 43.91155243 0.00715138 0.01924848 12.29699993 0.00000000 0.80366898 0.15574819 48
ang20190802t224159 69.05923462 -103.56345367 47.99649811 0.00745816 0.01920891 5.85867357 0.00000000 0.73043340 0.21350692 42
ang20190802t224159 69.06533051 -103.62207031 55.72492981 0.00742486 0.01924689 5.81187677 0.00000000 0.66320401 0.26834923 27
ang20190802t224159 69.29032898 -104.85636902 34.02153015 0.00739833 0.01932840 10.85338688 0.00000000 0.54420334 0.26053825 21
ang20190802t224159 69.15194702 -104.08893585 28.25024414 0.00722891 0.01922235 8.58517647 0.00000000 0.77335310 0.13237071 23
