flightline,latitude_mean,longitude_mean,elevation_mean,latitude_stdev,longitude_stdev,elevation_stdev,cloud_fraction,ndvi_mean,ndvi_stdev,dimensionality
ang20190707t230232,67.48374176,-162.8665314,12.22071934,0.00772347,0.02035985,2.86069489,0,0.83712989,0.14936824,27
ang20190707t230232,67.43903351,-162.7898102,10.2592535,0.00730174,0.02067311,3.12062192,0,0.51845294,0.5709393,32
ang20190707t230232,67.39829254,-162.7372894,9.98075771,0.00733662,0.02105355,2.06152582,0,0.54974884,0.57118219,23
ang20190707t230232,67.36264038,-162.6568298,11.47697544,0.00790241,0.02118578,2.66586924,0,0.88094288,0.12630802,46
ang20190802t222542,69.16390991,-104.2838593,25.97674179,0.00712298,0.01926888,13.43673992,0,0.59323585,0.16728424,68
ang20190802t222542,69.20056152,-104.5184708,41.22316742,0.00793669,0.01924201,8.22217369,0,0.51154417,0.26166818,29
ang20190802t222542,69.18523407,-104.4006043,33.82645035,0.0072294,0.01917222,7.4811492,0,0.57389355,0.22359581,23
ang20190802t222542,69.24763489,-104.7552033,26.54957581,0.00729549,0.01918168,10.6314106,0,0.50427753,0.29788995,46
ang20190802t222542,69.22650909,-104.6368179,29.5875721,0.00717352,0.01922664,6.62961435,0,0.4693211,0.29337171,31
ang20190802t222542,69.07376099,-103.8148346,54.88727951,0.00799358,0.01904158,7.4669137,0,0.47194952,0.36243942,24
ang20190802t222542,69.2883606,-104.9929276,45.23723602,0.00707104,0.01931222,11.13102055,0,0.49868277,0.30524075,37
ang20190802t222542,69.10025787,-103.931778,58.20343781,0.00716617,0.01910402,6.6512742,0,0.60985196,0.2562339,24
ang20190802t222542,69.30968475,-105.1119537,67.94442749,0.00735496,0.01933491,14.67860031,0,0.58020818,0.21433501,32
ang20190802t222542,69.12227631,-104.0491104,62.84925461,0.00735135,0.01933486,9.22591877,0,0.66662478,0.12340207,28
ang20190802t222542,69.32420349,-105.2310028,49.3357048,0.00788942,0.01938608,10.01073551,0,0.58909667,0.30411279,76
ang20190802t222542,69.13752747,-104.1665344,29.72457504,0.00792225,0.01903315,7.51308441,0,0.6307928,0.2358311,41
ang20190802t222542,69.34922028,-105.3503647,50.60817337,0.00704248,0.0193524,12.35758686,0,0.67482078,0.1769817,41
ang20190802t222542,69.05877686,-103.6978531,56.91810608,0.00749939,0.01901666,8.41763687,0,0.47290742,0.38050273,51
ang20190802t222542,69.26262665,-104.8742752,35.45555878,0.00798261,0.01926178,13.35686302,0,0.56515682,0.23133677,35
ang20190802t222542,69.03552246,-103.5822296,48.75225449,0.0070168,0.01914782,8.72391796,0,0.58871752,0.30235714,22
ang20190802t222542,69.00971985,-103.4661331,67.54579163,0.00782623,0.0190637,9.09848976,0,0.61202073,0.18786789,59
ang20190802t222542,69.31544495,-105.1716766,57.680439,0.00735819,0.01926534,11.76207352,0,0.59026384,0.25052175,28
ang20190802t222542,69.11319733,-103.9906464,56.45878601,0.00788888,0.01900278,7.35338974,0,0.56956029,0.24489802,21
ang20190802t222542,69.33675385,-105.2910538,49.3125,0.0071789,0.0192921,8.90410328,0,0.66215974,0.23263238,69
ang20190802t222542,69.1281662,-104.1074829,42.68143082,0.00748222,0.01907371,8.10612869,0,0.6292721,0.20342988,23
ang20190802t222542,69.27574158,-104.9336777,33.64549255,0.00704833,0.01914458,6.31383038,0,0.55468947,0.24030086,24
ang20190802t222542,69.06494904,-103.7569656,55.89257431,0.00727411,0.0191968,11.19906807,0,0.4584724,0.3625395,42
ang20190802t222542,69.30099487,-105.0524216,52.44373703,0.0079355,0.0192367,13.5568676,0,0.58317268,0.25764543,24
ang20190802t222542,69.08682251,-103.8732529,55.86936188,0.00715784,0.01906358,9.24712181,0,0.57383811,0.30349404,22
ang20190802t222542,69.25338745,-104.8144913,49.08654022,0.00745839,0.0192508,24.54551125,0,0.61450762,0.16675444,46
ang20190802t222542,69.04927826,-103.6395187,54.60324478,0.00805124,0.01888794,8.07456398,0,0.49780771,0.37485707,79
ang20190802t222542,69.02189636,-103.5237427,56.27721405,0.00726049,0.01895995,8.96173859,0,0.59361142,0.25075758,21
ang20190802t222542,69.00130463,-103.4080048,40.53382492,0.00715696,0.01903645,13.3743763,0,0.65870953,0.1182852,78
ang20190802t222542,69.15076447,-104.2250214,31.31219101,0.00710466,0.01906043,9.92288303,0,0.64054179,0.19136791,25
ang20190802t222542,69.23895264,-104.6961289,23.59196281,0.00788367,0.0194804,5.81703568,0,0.40998966,0.33125654,21
ang20190802t222542,69.21365356,-104.5774841,36.8309021,0.00708299,0.01935371,8.62353516,0,0.54169697,0.23541652,29
ang20190802t222542,69.19111633,-104.4599075,33.56586838,0.00749312,0.01922454,5.67830324,0,0.36460048,0.3565917,27
ang20190802t222542,69.17649841,-104.341835,22.79032326,0.00785478,0.01916581,11.32623291,0,0.57702726,0.22254235,44
ang20190802t224159,69.20172119,-104.3824921,38.2836647,0.00796845,0.01908598,8.01428032,0,0.60740352,0.22115591,27
ang20190802t224159,69.22821808,-104.5009155,39.85208511,0.0074504,0.01930363,6.80412626,0,0.55832827,0.26955017,52
ang20190802t224159,69.2482605,-104.6193314,33.59906769,0.00720269,0.01926062,5.82257986,0,0.5160045,0.31566232,48
ang20190802t224159,69.26418304,-104.7379379,26.50854683,0.00796992,0.01952605,7.58315182,0,0.44546548,0.30756885,56
ang20190802t224159,69.18585968,-104.2650299,31.55307198,0.00729347,0.01928113,6.98682594,0,0.70825028,0.17331031,29
ang20190802t224159,69.2780838,-104.7973785,33.75319672,0.00717667,0.01939399,8.235116,0,0.63177097,0.16095842,68
ang20190802t224159,69.07440948,-103.6799469,57.72740173,0.00808775,0.01939833,6.43855572,0,0.58108342,0.39145088,65
ang20190802t224159,69.3166275,-105.0348511,33.0696907,0.00765418,0.01946599,11.62838554,0,0.6528151,0.25832498,21
ang20190802t224159,69.12281799,-103.9135513,49.12141037,0.00738665,0.01922416,6.86576605,0,0.69263828,0.3056246,65
ang20190802t224159,69.10097504,-103.7967835,50.67071915,0.00722201,0.01924145,7.16886902,0,0.61968809,0.38187367,44
ang20190802t224159,69.30245209,-104.9157867,40.92471695,0.00802844,0.01947522,7.60438442,0,0.5778175,0.23872513,52
ang20190802t224159,69.36413574,-105.2733765,38.36944962,0.00805808,0.0195563,7.74527216,0,0.70523465,0.1597243,24
ang20190802t224159,69.16518402,-104.1476669,21.63102531,0.00734386,0.01915854,7.24292135,0,0.64438707,0.30932748,27
ang20190802t224159,69.13860321,-104.0304871,43.32382965,0.00796662,0.01916273,12.75441742,0,0.73350781,0.18744646,27
ang20190802t224159,69.33881378,-105.1537781,37.59923172,0.00720229,0.01948973,8.75795269,0,0.63858694,0.23439954,66
ang20190802t224159,69.03620911,-103.4470673,43.91155243,0.00715138,0.01924848,12.29699993,0,0.80366898,0.15574819,48
ang20190802t224159,69.05923462,-103.5634537,47.99649811,0.00745816,0.01920891,5.85867357,0,0.7304334,0.21350692,42
ang20190802t224159,69.06533051,-103.6220703,55.72492981,0.00742486,0.01924689,5.81187677,0,0.66320401,0.26834923,27
ang20190802t224159,69.29032898,-104.856369,34.02153015,0.00739833,0.0193284,10.85338688,0,0.54420334,0.26053825,21
ang20190802t224159,69.15194702,-104.0889359,28.25024414,0.00722891,0.01922235,8.58517647,0,0.7733531,0.13237071,23
ang20190802t224159,69.37248993,-105.3337631,27.26652718,0.00748802,0.0192947,7.43881178,0,0.74354231,0.15287136,25
ang20190802t224159,69.35186005,-105.2138901,45.83876419,0.00735009,0.01945755,7.8856883,0,0.66759962,0.20321091,22
ang20190802t224159,69.12882233,-103.9720078,47.98614502,0.00751565,0.01950303,9.18377876,0,0.71592307,0.25001249,27
ang20190802t224159,69.11410522,-103.8553085,53.04537964,0.00804578,0.01896769,8.13175678,0,0.69451636,0.30335283,44
ang20190802t224159,69.32568359,-105.0948257,35.87228012,0.00810471,0.01927776,11.06407452,0,0.64449036,0.25204054,21
ang20190802t224159,69.31074524,-104.975502,44.4542923,0.00734985,0.01931031,9.17205048,0,0.50876868,0.3418889,19
ang20190802t224159,69.08786774,-103.7384033,55.23584366,0.00722585,0.01926352,8.27505779,0,0.66531837,0.31489429,22
ang20190802t224159,69.02249908,-103.3889465,27.89928055,0.00733424,0.01923849,10.38904762,0,0.65226901,0.3256419,75
ang20190802t224159,69.04957581,-103.5055389,42.91053772,0.00797014,0.0191462,11.94632435,0,0.65393782,0.3152824,27
ang20190802t224159,69.24043274,-104.5600205,34.91373444,0.00798529,0.01939926,7.40326452,0,0.45718661,0.33020756,48
ang20190802t224159,69.25450897,-104.6787186,25.66179085,0.00765085,0.01935145,7.01155329,0,0.38150898,0.37569404,43
ang20190802t224159,69.1920166,-104.3237381,35.83678818,0.00773077,0.01924176,8.44169521,0,0.6659199,0.19976929,50
ang20190802t224159,69.21526337,-104.4417725,36.4822731,0.00710208,0.01924263,6.11708832,0,0.40439737,0.36951029,20
ang20190802t224159,69.17761993,-104.2059326,25.45112991,0.00803954,0.01936537,7.3558774,0,0.67048866,0.25862604,64
